File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),,,,,,DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_13-14_strike_13.0.csv,13-14,13,101,4119.3,-345.7,11.91582297,79.20792079,,,,,,7; 9; 12; 13; 14; 15; 16; 18; 19; 20; 21; 22; 23; 25; 26; 27; 28; 29,-71.0 to 1.0000000000000009
vix_put_spread_results_threshold_14-15_strike_13.0.csv,14-15,13,68,4590.4,-177.5,25.86140845,92.64705882,,,,,,2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 21; 22; 23; 27; 29; 30,-184.0 to -15.0
vix_put_spread_results_threshold_15-16_strike_14.0.csv,15-16,14,51,3703.3,-105.8,35.00283554,92.15686275,,,,,,1; 2; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 20; 21; 22; 23,-172.99999999999997 to -5.0
vix_put_spread_results_threshold_16-17_strike_16.0.csv,16-17,16,72,6597.6,-188.4,35.01910828,83.33333333,,,,,,6; 7; 9; 11; 13; 14; 15; 16; 19; 20; 21; 22; 23; 26; 28; 29,-54.0 to -2.0000000000000018
vix_put_spread_results_threshold_17-18_strike_15.0.csv,17-18,15,59,5851.7,-212.2,27.57634307,89.83050847,,,,,,1; 2; 6; 7; 8; 9; 12; 13; 14; 15; 16; 20; 21; 25; 26; 27; 28; 29; 30,-212.0 to -25.0
vix_put_spread_results_threshold_18-19_strike_16.0.csv,18-19,16,65,7496.5,-419.9,17.85306025,89.23076923,,,,,,2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 18; 19; 20; 21; 22; 23; 29; 30,-250.0 to -27.0
vix_put_spread_results_threshold_19-20_strike_16.0.csv,19-20,16,41,5659.3,-150.8,37.52851459,90.24390244,,,,,,2; 7; 8; 9; 12; 13; 14; 15; 20; 21; 22; 23; 26; 27; 28; 29; 30,-301.0 to -52.0
vix_put_spread_results_threshold_19-20_strike_18.0.csv,19-20,18,73,6480.9,-107.2,60.45615672,91.78082192,,,,,,4; 5; 6; 7; 8; 9; 12; 13; 14; 15; 16; 19; 20; 21; 22; 26; 27; 28; 29,-195.0 to -18.000000000000004
vix_put_spread_results_threshold_20-21_strike_15.0.csv,20-21,15,27,4365.1,-18.7,233.4278075,96.2962963,,,,,,1; 2; 5; 6; 8; 9; 10; 12; 14; 15; 16; 19; 22; 28; 29,-376.0 to -17.0
vix_put_spread_results_threshold_20-21_strike_16.0.csv,20-21,16,32,4365.6,-60.4,72.2781457,93.75,,,,,,1; 6; 7; 8; 9; 10; 12; 13; 14; 15; 16; 22; 28,-313.99999999999994 to -88.99999999999999
vix_put_spread_results_threshold_20-21_strike_17.0.csv,20-21,17,51,6266.3,-151.1,41.47121112,94.11764706,,,,,,1; 2; 4; 5; 6; 7; 8; 9; 10; 12; 13; 14; 15; 16; 21; 22; 23; 26; 28; 29,-294.99999999999994 to -39.0
vix_put_spread_results_threshold_20-21_strike_21.0.csv,20-21,21,46,7500.8,-166.2,45.13116727,86.95652174,,,,,,12; 13; 14; 15; 16; 18; 21; 22; 23; 25; 26; 27; 28; 29,-109.0 to 72.0
