File,VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
vix_put_spread_results_threshold_13-14_strike_13.0.csv,13-14,13.0,241,14082.300000000001,-50.0999999999998,281.0838323353305,86.30705394190872,7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0,0.0 to 0.0
vix_put_spread_results_threshold_14-15_strike_13.0.csv,14-15,13.0,239,18284.699999999993,-672.7,27.18106139438084,91.21338912133892,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-278.0 to -6.5
vix_put_spread_results_threshold_15-16_strike_13.0.csv,15-16,13.0,107,13017.099999999995,-226.2999999999999,57.52143172779497,96.26168224299066,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0,-194.0 to -22.5
vix_put_spread_results_threshold_16-17_strike_13.0.csv,16-17,13.0,79,9870.699999999995,-306.3999999999999,32.21507832898172,91.13924050632912,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-268.0 to -16.499999999999996
vix_put_spread_results_threshold_17-18_strike_13.0.csv,17-18,13.0,58,8132.900000000002,-221.10000000000036,36.783808231569374,94.82758620689656,1.0; 2.0; 6.0; 7.0; 8.0; 9.0; 11.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 22.0; 23.0; 26.0; 27.0,-279.0 to -6.5
vix_put_spread_results_threshold_18-19_strike_13.0.csv,18-19,13.0,65,11932.499999999998,-322.2000000000002,37.034450651769056,90.76923076923077,1.0; 2.0; 3.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 20.0; 21.0; 22.0; 23.0; 25.0; 26.0; 27.0; 28.0; 29.0; 30.0,-321.5 to -17.5
vix_put_spread_results_threshold_19-20_strike_13.0.csv,19-20,13.0,40,6842.999999999999,-172.40000000000015,39.69257540603245,95.0,2.0; 5.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 16.0; 18.0; 19.0; 20.0; 21.0; 22.0; 26.0; 28.0; 29.0; 30.0,-434.50000000000006 to -52.5
vix_put_spread_results_threshold_20-21_strike_13.0.csv,20-21,13.0,30,6166.0,-163.7000000000001,37.66646304215025,96.66666666666667,1.0; 5.0; 7.0; 8.0; 9.0; 12.0; 13.0; 14.0; 15.0; 18.0; 19.0; 21.0; 22.0; 25.0; 28.0; 29.0,-395.0 to -78.5
vix_put_spread_results_threshold_21-22_strike_13.0.csv,21-22,13.0,38,9856.399999999998,-172.39999999999975,57.17169373549891,94.73684210526315,1.0; 2.0; 5.0; 6.0; 7.0; 8.0; 9.0; 12.0; 15.0; 16.0; 19.0; 20.0; 21.0; 22.0; 26.0; 27.0; 28.0; 29.0,-435.00000000000006 to -110.0
vix_put_spread_results_threshold_23-24_strike_13.0.csv,23-24,13.0,32,7019.599999999999,-136.2000000000001,51.53891336270187,96.875,1.0; 2.0; 4.0; 5.0; 6.0; 7.0; 9.0; 13.0; 14.0; 18.0; 19.0; 20.0; 21.0; 23.0; 27.0; 28.0; 29.0,-517.0 to -41.0
