DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2011-08-12,37.85,4.0,37.5,20,-428.0000000000001,1322.0,603.0000000000001,173.3
2011-11-01,37.53,14.04,37.5,20,-598.0,1152.0,1003.0000000000001,403.3000000000001
2020-06-16,37.45,1.0,37.5,20,-407.0,1343.0,525.0,116.3
2021-01-27,37.21,7.0,37.5,20,-763.0,987.0,1459.0,694.3
2021-01-27,37.21,14.0,37.5,20,-951.5,798.5,1750.0,796.8
2021-01-29,37.51,12.0,37.5,20,-882.4999999999999,867.5000000000001,1750.0,865.8000000000001
2022-02-24,37.79,6.0,37.5,20,-925.5000000000001,824.4999999999999,1057.0,129.7999999999999
2022-02-24,37.79,18.96,37.5,20,-1052.4999999999998,697.5000000000002,1057.0,2.800000000000227
2022-02-24,37.79,26.96,37.5,20,-1197.9999999999998,552.0000000000002,1480.0,280.30000000000024
2022-03-08,37.52,6.96,37.5,20,-562.5,1187.5,866.0,301.8
