VIX_Threshold,Sell_Strike,Number of Trades,Total Return,Max Drawdown,Risk/Reward Ratio,Winrate (%),DTE,Spread_Cost_Interval
13-14,13.0,101,4119.3,-345.70000000000033,11.915822967891224,79.20792079207921,7; 9; 12; 13; 14; 15; 16; 18; 19; 20; 21; 22; 23; 25; 26; 27; 28; 29,-71.0 to 1.0000000000000009
14-15,13.0,68,4590.400000000001,-177.5,25.86140845070423,92.64705882352942,2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 21; 22; 23; 27; 29; 30,-184.0 to -15.0
15-16,13.0,32,3252.6000000000004,-108.39999999999986,30.005535055350595,93.75,2; 4; 5; 6; 7; 8; 9; 11; 12; 13; 14; 16; 20,-216.0 to -21.0
13-14,14.0,66,3389.7999999999984,-586.5000000000008,5.779710144927526,77.27272727272727,8; 9; 12; 13; 14; 15; 16; 19; 20; 21; 22; 23; 25; 26; 27; 28,-94.0 to 73.00000000000001
14-15,14.0,40,2733.999999999999,-83.50000000000018,32.742514970059794,87.5,8; 9; 14; 20; 21; 22; 23; 28; 29; 30,-73.0 to -1.999999999999996
15-16,14.0,51,3703.300000000001,-105.79999999999993,35.0028355387524,92.15686274509804,1; 2; 5; 6; 7; 8; 9; 11; 12; 13; 14; 15; 16; 19; 20; 21; 22; 23,-172.99999999999997 to -5.0
16-17,14.0,40,3425.0,-229.49999999999997,14.923747276688456,87.5,1; 4; 5; 6; 7; 8; 9; 12; 13; 14; 16; 18; 19; 21; 22; 28,-246.0 to -24.0
14-15,15.0,52,4362.6,-367.0000000000004,11.887193460490451,80.76923076923077,6; 9; 16; 18; 19; 21; 22; 23; 25; 26; 27; 28; 29; 30,-60.00000000000001 to 74.0
15-16,15.0,46,4004.800000000001,-243.10000000000002,16.47387906211436,71.73913043478261,6; 7; 11; 13; 15; 20; 21; 22; 23; 27; 28; 29,-60.99999999999999 to -0.9999999999999996
16-17,15.0,85,5583.500000000001,-258.3999999999999,21.60797213622292,85.88235294117646,1; 2; 4; 5; 6; 7; 9; 11; 12; 13; 14; 19; 21; 22; 23; 26; 27; 29,-183.0 to -5.0
17-18,15.0,59,5851.700000000002,-212.1999999999997,27.576343072573092,89.83050847457628,1; 2; 6; 7; 8; 9; 12; 13; 14; 15; 16; 20; 21; 25; 26; 27; 28; 29; 30,-212.0 to -25.0
18-19,15.0,52,5781.6,-350.90000000000003,16.476489028213166,86.53846153846155,1; 2; 5; 6; 8; 9; 12; 13; 14; 16; 18; 20; 21; 22; 23; 29; 30,-309.00000000000006 to -26.0
20-21,15.0,27,4365.100000000002,-18.7,233.42780748663114,96.29629629629629,1; 2; 5; 6; 8; 9; 10; 12; 14; 15; 16; 19; 22; 28; 29,-376.0 to -17.0
