DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN,Avg_Spread_Cost,Q1_Spread_Cost,Q3_Spread_Cost,Avg_Expiry_Value,Q1_Expiry_Value,Q3_Expiry_Value
2010-05-04,25.7,14,25.0,25,-21.0,-21.0,125.0,102.3,-21.0,-21.0,-21.0,125.0,125.0,125.0
2011-07-29,25.94,18,25.0,25,-20.000000000000018,-20.000000000000018,253.99999999999991,232.2999999999999,-20.000000000000018,-20.000000000000018,-20.000000000000018,253.99999999999991,253.99999999999991,253.99999999999991
2011-08-01,25.63,15,25.0,25,-9.999999999999964,-9.999999999999964,235.0000000000001,223.30000000000013,-21.333333333333307,-26.99999999999998,-9.999999999999964,232.99999999999991,151.99999999999994,315.0
2015-09-30,25.88,20,25.0,25,-10.000000000000009,-10.000000000000009,0.0,-11.700000000000008,,,,,,
2015-10-01,25.23,19,25.0,25,-19.99999999999997,-19.99999999999997,0.0,-21.69999999999997,,,,,,
2016-01-07,25.86,12,25.0,25,-9.999999999999964,-9.999999999999964,355.9999999999999,344.29999999999995,-30.2,-21.0,-5.999999999999983,215.8,126.00000000000016,355.9999999999999
2016-02-16,25.52,6,25.0,25,-9.000000000000007,-9.000000000000007,0.0,-10.700000000000006,,,,,,
2018-02-14,25.72,7,25.0,25,-70.00000000000001,-70.00000000000001,0.0,-71.70000000000002,,,,,,
2018-03-01,25.3,20,25.0,25,-21.0,-21.0,478.0,455.3,,,,,,
2018-12-06,25.94,12,25.0,25,-21.0,-21.0,374.00000000000017,351.3000000000002,-30.2,-21.0,-5.999999999999983,215.8,126.00000000000016,355.9999999999999
2018-12-17,25.88,1,25.0,25,-12.00000000000001,-12.00000000000001,0.0,-13.70000000000001,,,,,,
2020-06-05,25.09,5,25.0,25,-40.000000000000014,-40.000000000000014,35.00000000000014,-6.699999999999872,,,,,,
2020-06-08,25.98,2,25.0,25,-19.0,-19.0,0.0,-20.7,,,,,,
2020-07-21,25.65,15,25.0,25,-43.99999999999999,-43.99999999999999,68.99999999999977,23.29999999999978,-21.333333333333307,-26.99999999999998,-9.999999999999964,232.99999999999991,151.99999999999994,315.0
2020-07-28,25.85,1,25.0,25,-39.0,-39.0,0.0,-40.7,,,,,,
2020-07-28,25.85,8,25.0,25,-34.00000000000001,-34.00000000000001,68.99999999999977,33.29999999999976,,,,,,
2020-10-12,25.65,2,25.0,25,-20.0,-20.0,0.0,-21.7,,,,,,
2020-10-12,25.65,16,25.0,25,-35.0,-35.0,0.0,-36.7,,,,,,
2020-11-09,25.82,2,25.0,25,-54.99999999999999,-54.99999999999999,0.0,-56.7,,,,,,
2020-12-11,25.14,12,25.0,25,-109.00000000000004,-109.00000000000004,60.99999999999994,-49.70000000000009,-30.2,-21.0,-5.999999999999983,215.8,126.00000000000016,355.9999999999999
2020-12-22,25.56,1,25.0,25,-46.00000000000001,-46.00000000000001,0.0,-47.70000000000001,,,,,,
2021-01-12,25.15,1,25.0,25,-35.00000000000001,-35.00000000000001,0.0,-36.70000000000001,,,,,,
2021-01-12,25.15,8,25.0,25,-11.000000000000032,-11.000000000000032,0.0,-12.700000000000031,,,,,,
