DATE,VIX_HIGH,DTE,ATM_STRIKE,SELL_STRIKE,SPREAD_COST,MAX_PROFIT,EXPIRY_VALUE,RETURN
2023-11-22,13.25,28,13.0,34,1907.0,1907.0,-2052.0,-146.7
2023-11-24,13.17,26,13.0,34,1955.0,1955.0,-2052.0,-98.7
2023-11-27,13.28,23,13.0,34,1953.0,1953.0,-2052.0,-100.7
2023-11-29,13.1,21,13.5,34,1920.0,1920.0,-2002.0,-83.7
2023-11-30,13.39,20,13.5,34,1937.0,1937.0,-2002.0,-66.7
2023-12-04,13.7,16,13.0,34,1978.0,1978.0,-2052.0,-75.70000000000023
2023-12-05,13.76,15,13.0,34,1984.0,1984.0,-2052.0,-69.7
2023-12-07,13.28,13,13.0,34,1983.0,1983.0,-2052.0,-70.70000000000023
2023-12-08,13.24,12,13.0,34,2016.0,2016.0,-2052.0,-37.7
2023-12-11,13.14,9,13.0,34,2039.0,2039.0,-2052.0,-14.7
