Date,Option expiration date,Strike short put,Strike long put,DTE,Spread Cost,Commission Sell,Commission Buy,Total Commissions,Status,VIX underlying price at trade,Qty Sell,Qty Buy,Bid Sell,Ask Sell,Bid Buy,Ask Buy,Price Sold,Price Paid,Effective Spread Cost,Total Costs,Strategy File,AVG Expiry Value,Current Expiry Value,Return,VIX Settlement Price
2025-05-22 16:13:00,2025-06-02,15.0,24.0,10.0,-93.0,1.16,1.31,2.47,Exercised,20.69,1.0,1.0,0.01,0.03,0.66,0.94,0.01,0.88,-87.0,-89.47,Selected_vix_put_spread_results_threshold_20-21_strike_15.0.xlsx,462.0,18.24,0.0,18.24
2025-05-22 16:18:00,2025-06-02,16.0,20.0,10.0,-95.0,1.16,1.31,2.47,Exercised,20.69,1.0,1.0,0.01,0.05,0.7,0.96,0.01,0.92,-91.0,-93.47,Selected_vix_put_spread_results_threshold_20-21_strike_16.0.xlsx,400.0,18.24,0.0,18.24
2025-05-22 17:40:00,2025-06-02,17.0,20.0,10.0,-80.0,1.16,1.31,2.47,Exercised,20.83,1.0,1.0,0.05,0.09,0.68,0.85,0.08,0.84,-76.0,-78.47,Selected_vix_put_spread_results_threshold_20-21_strike_17.0.xlsx,300.0,18.24,0.0,18.24
2025-05-23 16:22:00,2025-06-02,20.0,23.0,9.0,-145.0,1.31,1.46,2.77,Exercised,23.59,1.0,1.0,0.36,0.43,1.47,1.81,0.39,1.93,-154.0,-156.77,Selected_vix_put_spread_results_threshold_23-24_strike_20.0.xlsx,482.0,18.24,-176.00000000000017,18.24
2025-05-23 16:40:00,2025-06-02,21.0,23.0,9.0,-136.0,1.31,1.51,2.82,Exercised,23.59,1.0,1.0,0.65,0.87,1.64,2.01,0.7,2.18,-148.0,-150.82,Selected_vix_put_spread_results_threshold_23-24_strike_21.0.xlsx,564.0,18.24,-276.00000000000017,18.24
2025-05-23 17:56:00,2025-06-02,19.0,21.0,9.0,-81.0,1.31,1.31,2.62,Exercised,21.99,1.0,1.0,0.19,0.3,0.76,1.0,0.17,0.93,-76.0,-78.62,Selected_vix_put_spread_results_threshold_21-22_strike_19.0.xlsx,263.25,18.24,-76.00000000000016,18.24
2025-05-23 18:01:00,2025-06-02,17.0,21.0,9.0,-96.0,1.16,1.31,2.47,Exercised,21.82,1.0,1.0,0.04,0.06,0.78,1.0,0.04,0.92,-88.0,-90.47,Selected_vix_put_spread_results_threshold_21-22_strike_17.0.xlsx,335.0,18.24,0.0,18.24
2025-05-27 16:09:00,2025-06-02,15.0,20.0,5.0,-75.0,1.16,1.31,2.47,Exercised,20.25,1.0,1.0,0.01,0.03,0.66,0.76,0.01,0.95,-94.0,-96.47,Selected_vix_put_spread_results_threshold_20-21_strike_15.0.xlsx,221.6666667,18.24,0.0,18.24
2025-05-27 16:49:00,2025-06-02,18.0,19.0,5.0,-35.0,1.31,1.31,2.62,Exercised,19.42,1.0,1.0,0.15,0.23,0.4,0.5,0.15,0.49,-34.0,-36.62,Selected_vix_put_spread_results_threshold_19-20_strike_18.0.xlsx,85.5,18.24,0.0,18.24
2025-05-27 16:32:00,2025-06-10,17.0,20.0,13.0,-146.0,1.16,1.46,2.62,Exercised,20.25,1.0,1.0,0.08,0.21,1.03,1.54,0.08,1.51,-143.0,-145.62,Selected_vix_put_spread_results_threshold_20-21_strike_17.0.xlsx,418.0,16.3,-69.99999999999993,16.3
2025-06-02 16:53:00,2025-06-10,16.0,18.0,7.0,-27.0,1.16,1.31,2.47,Exercised,18.94,1.0,1.0,0.01,0.05,0.24,0.28,0.01,0.28,-27.0,-29.47,Selected_vix_put_spread_results_threshold_18-19_strike_16.0.xlsx,142.0,16.3,0.0,16.3
